method,num_images,fid,kid_mean,kid_std,precision,recall,density,coverage,mean_ms_ssim,reference_mean_ms_ssim,palette_consistency,opaque_ratio,reference_opaque_ratio,edge_density,reference_edge_density,unique_colors_mean,pixel_nn_l2_mean,pixel_exact_match_rate,summary
pixelvar_main,4096,13.25158412,0.00600983,0.00061440,0.64062500,0.92919922,0.40927734,0.60498047,0.83231026,0.81800325,1.00000000,0.22756481,0.23525047,0.18017960,0.18065311,11.92944336,5.23839951,0.00073242,Strong internal/proposal model; audit found 13 validation and 11 test exact matches.
hmar_steps1,4096,12.65552108,0.00520923,0.00059930,0.64941406,0.93139648,0.41357422,0.61645508,0.83090475,0.81800325,1.00000000,0.22686672,0.23525047,0.18089159,0.18065311,11.83007812,5.21798515,0.00048828,Slightly beats PixelVAR main on known metrics; audit found 15 validation and 22 test exact matches.
flat_ar,4096,9.35579208,0.00297500,0.00042596,0.91723633,0.95410156,0.76538086,0.85180664,0.82806624,0.81800325,1.00000000,0.23209119,0.23525047,0.17900959,0.18065311,11.03784180,3.49279952,0.01123047,Best known metrics but memorization audit found 3162 train exact matches and 365 validation exact matches; not a clean winner.
flat_maskgit,4096,67.39083888,0.06182514,0.00170791,0.15454102,0.03173828,0.04545898,0.04541016,0.94262797,0.81800325,1.00000000,0.19417667,0.23525047,0.16312728,0.18065311,11.87182617,9.55986691,0.00000000,Failed baseline under this setup; low diversity and poor coverage.
