epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_step,val/acc,val/acc_s0_1,val/acc_s1_2,val/acc_s2_4,val/acc_s3_8,val/acc_s4_16,val/loss,val/loss_s0_1,val/loss_s1_2,val/loss_s2_4,val/loss_s3_8,val/loss_s4_16
,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,0.3446998596191406,,0.28774023056030273,,0.6133522987365723,,1.5744452476501465,,2.1700241565704346,1.9577711820602417,,,,,,,,,,,,
0,,19,,,,,,,,,0.22977447509765625,,0.24967002868652344,,0.5591334104537964,,1.44624924659729,,2.0176055431365967,1.8159576654434204,,,,,,,,,,,,
0,,29,,,,,,,,,0.10017585754394531,,0.10035562515258789,,0.49263477325439453,,1.3750545978546143,,1.8448219299316406,1.667629599571228,,,,,,,,,,,,
0,,39,,,,,,,,,0.04924631118774414,,0.046729207038879395,,0.47275927662849426,,1.1294167041778564,,1.561540126800537,1.4071474075317383,,,,,,,,,,,,
0,,49,,,,,,,,,0.03279685974121094,,0.03102588653564453,,0.48147130012512207,,0.9766561985015869,,1.4188765287399292,1.2715507745742798,,,,,,,,,,,,
0,,59,,,,,,,,,0.03227853775024414,,0.027344346046447754,,0.4826815128326416,,0.9227306842803955,,1.3150981664657593,1.1835321187973022,,,,,,,,,,,,
0,,69,,,,,,,,,0.03422141075134277,,0.028618574142456055,,0.3854164481163025,,0.8682239055633545,,1.223121166229248,1.0997087955474854,,,,,,,,,,,,
0,,79,,,,,,,,,0.025269746780395508,,0.020685166120529175,,0.35336020588874817,,0.8320211172103882,,1.1749603748321533,1.0551347732543945,,,,,,,,,,,,
0,,89,,,,,,,,,0.015785813331604004,,0.012555688619613647,,0.3361791968345642,,0.8029944896697998,,1.1545430421829224,1.033429741859436,,,,,,,,,,,,
