epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step,val/acc,val/acc_s0_1,val/acc_s1_2,val/acc_s2_4,val/acc_s3_8,val/acc_s4_16,val/acc_s5_32,val/loss,val/loss_s0_1,val/loss_s1_2,val/loss_s2_4,val/loss_s3_8,val/loss_s4_16,val/loss_s5_32
,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,0.30242395401000977,,0.25040122866630554,,0.5444653034210205,,0.9018560647964478,,1.0157973766326904,,1.1582145690917969,1.1060782670974731,,,,,,,,,,,,,,
0,,15,,,,,,,,,,,,,,,,,,,,,,0.7743303179740906,1.0,1.0,0.925537109375,0.8212890625,0.7922515869140625,0.7634506225585938,1.0794153213500977,0.21985962986946106,0.20302797853946686,0.47376617789268494,0.9102543592453003,0.9894713759422302,1.1261999607086182
0,,15,0.7441340088844299,0.9319999814033508,0.9353469014167786,0.8859106302261353,0.777721107006073,0.7419989705085754,0.7388706803321838,1.1984877586364746,0.6027198433876038,,0.49356985092163086,,0.6586183309555054,,1.0625333786010742,,1.145097255706787,,1.2331340312957764,,,,,,,,,,,,,,,,
,0.00029988435543610843,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,0.18863989412784576,,0.17093133926391602,,0.4722962975502014,,0.9078429937362671,,0.9923932552337646,,1.1326264142990112,1.085483431816101,,,,,,,,,,,,,,
1,,29,,,,,,,,,,0.16831550002098083,,0.15292373299598694,,0.4237576127052307,,0.8856925368309021,,0.9719517827033997,,1.118139386177063,1.0668103694915771,,,,,,,,,,,,,,
1,,31,,,,,,,,,,,,,,,,,,,,,,0.7743303179740906,1.0,1.0,0.925537109375,0.8212890625,0.7922515869140625,0.7634506225585938,1.0527738332748413,0.13508306443691254,0.12758149206638336,0.43410003185272217,0.878548800945282,0.9592574238777161,1.1012189388275146
1,,31,0.7741278409957886,1.0,1.0,0.9208288788795471,0.8211028575897217,0.7916392683982849,0.7632794380187988,1.0740224123001099,0.1848878264427185,,0.1702141910791397,,0.4773358404636383,,0.8980937004089355,,0.9822415709495544,,1.1222801208496094,,,,,,,,,,,,,,,,
,0.00029953760005996916,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,39,,,,,,,,,,0.07116973400115967,,0.059261299669742584,,0.5008662939071655,,0.8277815580368042,,0.8837282061576843,,1.0613652467727661,1.0071767568588257,,,,,,,,,,,,,,
2,,47,,,,,,,,,,,,,,,,,,,,,,0.7760016322135925,1.0,1.0,0.925537109375,0.8212890625,0.8002777099609375,0.763671875,0.9570862650871277,0.02606656402349472,0.03474818542599678,0.43004071712493896,0.745031476020813,0.7969458699226379,1.023121953010559
2,,47,0.773725688457489,1.0,1.0,0.920991837978363,0.8223884701728821,0.7948858737945557,0.7618739604949951,1.0133774280548096,0.08212537318468094,,0.07220829278230667,,0.4669201374053955,,0.8149643540382385,,0.8856374621391296,,1.0714516639709473,,,,,,,,,,,,,,,,
,0.00029896026854323894,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,49,,,,,,,,,,0.028767969459295273,,0.03590313345193863,,0.44603461027145386,,0.7364030480384827,,0.8095161318778992,,1.043128252029419,0.9758169054985046,,,,,,,,,,,,,,
3,,59,,,,,,,,,,0.02722916752099991,,0.033287160098552704,,0.41497087478637695,,0.6099518537521362,,0.7153826951980591,,1.006560206413269,0.9251137971878052,,,,,,,,,,,,,,
3,,63,,,,,,,,,,,,,,,,,,,,,,0.7856227159500122,1.0,1.0,0.925537109375,0.861328125,0.82659912109375,0.7674140930175781,0.8551167845726013,0.02088985964655876,0.03053499199450016,0.3720552921295166,0.5168293118476868,0.6476465463638306,0.9397108554840088
3,,63,0.7792326211929321,1.0,1.0,0.9228531718254089,0.8314953446388245,0.8130218386650085,0.7640894055366516,0.9218664169311523,0.02762775495648384,,0.03452245891094208,,0.42417049407958984,,0.6606271862983704,,0.7282066941261292,,0.9991733431816101,,,,,,,,,,,,,,,,
,0.00029815325108927063,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,69,,,,,,,,,,0.023603500798344612,,0.03197627514600754,,0.47322914004325867,,0.4950406849384308,,0.6645271182060242,,0.9346140623092651,0.8528508543968201,,,,,,,,,,,,,,
4,,79,,,,,,,,,,0.020810304209589958,,0.026919744908809662,,0.4962351620197296,,0.4831877052783966,,0.6231904625892639,,0.8725072145462036,0.795220136642456,,,,,,,,,,,,,,
4,,79,,,,,,,,,,,,,,,,,,,,,,0.8009472489356995,1.0,1.0,0.925537109375,0.86468505859375,0.823486328125,0.7884101867675781,0.7492416501045227,0.017473798245191574,0.02659265510737896,0.3515748679637909,0.47131380438804626,0.6189544200897217,0.8089349269866943
