epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step,val/acc,val/acc_s0_1,val/acc_s1_2,val/acc_s2_4,val/acc_s3_8,val/acc_s4_16,val/acc_s5_32,val/loss,val/loss_s0_1,val/loss_s1_2,val/loss_s2_4,val/loss_s3_8,val/loss_s4_16,val/loss_s5_32
,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,0.356148362159729,,0.2110452651977539,,0.5551202297210693,,0.9179731607437134,,1.0115571022033691,,1.151715636253357,1.104137659072876,,,,,,,,,,,,,,
0,,15,,,,,,,,,,,,,,,,,,,,,,0.7743303179740906,1.0,1.0,0.925537109375,0.8212890625,0.7922515869140625,0.7634506225585938,1.0763131380081177,0.21097609400749207,0.17948849499225616,0.45600101351737976,0.9009944200515747,0.9798983931541443,1.1254148483276367
0,,15,0.7234731912612915,0.9269999861717224,0.9477499723434448,0.8598750233650208,0.7500312328338623,0.7413125038146973,0.7141474485397339,1.2680429220199585,0.7771425843238831,,0.4648776948451996,,0.7745492458343506,,1.1900259256362915,,1.195537805557251,,1.3023731708526611,,,,,,,,,,,,,,,,
,0.0002999259840548597,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,0.2673780918121338,,0.2201230525970459,,0.5344054698944092,,0.9083558320999146,,0.9915351867675781,,1.14054274559021,1.09126877784729,,,,,,,,,,,,,,
1,,29,,,,,,,,,,0.1886911690235138,,0.12970620393753052,,0.49074262380599976,,0.8362553119659424,,0.9012433290481567,,1.079132318496704,1.0240509510040283,,,,,,,,,,,,,,
1,,31,,,,,,,,,,,,,,,,,,,,,,0.775080144405365,1.0,1.0,0.925537109375,0.8212890625,0.7962493896484375,0.7634506225585938,0.9837942719459534,0.17397189140319824,0.09543676674365997,0.41745299100875854,0.788787841796875,0.8450495600700378,1.043778419494629
1,,31,0.7734923362731934,1.0,1.0,0.9211875200271606,0.8209999799728394,0.791742205619812,0.7625468969345093,1.0564391613006592,0.22479912638664246,,0.17434467375278473,,0.4733683168888092,,0.8727075457572937,,0.9489840865135193,,1.108154535293579,,,,,,,,,,,,,,,,
,0.0002997040092642407,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
