epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step,val/acc,val/acc_s0_1,val/acc_s1_2,val/acc_s2_4,val/acc_s3_8,val/acc_s4_16,val/acc_s5_32,val/loss,val/loss_s0_1,val/loss_s1_2,val/loss_s2_4,val/loss_s3_8,val/loss_s4_16,val/loss_s5_32
,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,0.3561466634273529,,0.21104508638381958,,0.5551196932792664,,0.9179720282554626,,1.01155686378479,,1.1517151594161987,1.1041373014450073,,,,,,,,,,,,,,
0,,15,,,,,,,,,,,,,,,,,,,,,,0.7743303179740906,1.0,1.0,0.925537109375,0.8212890625,0.7922515869140625,0.7634506225585938,1.0763126611709595,0.21097956597805023,0.17949283123016357,0.45600640773773193,0.9009929299354553,0.9798977375030518,1.1254143714904785
0,,15,0.7234731912612915,0.9269999861717224,0.9477499723434448,0.8598750233650208,0.7500312328338623,0.7413125038146973,0.7141474485397339,1.2680429220199585,0.777140200138092,,0.4648763835430145,,0.7745495438575745,,1.1900256872177124,,1.1955375671386719,,1.3023730516433716,,,,,,,,,,,,,,,,
,0.0002999259840548597,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,0.26738211512565613,,0.22012083232402802,,0.5344046950340271,,0.9083563089370728,,0.9915350675582886,,1.1405425071716309,1.0912686586380005,,,,,,,,,,,,,,
1,,29,,,,,,,,,,0.18868756294250488,,0.12970276176929474,,0.49074310064315796,,0.836254894733429,,0.9012420177459717,,1.0791316032409668,1.0240501165390015,,,,,,,,,,,,,,
1,,31,,,,,,,,,,,,,,,,,,,,,,0.775080144405365,1.0,1.0,0.925537109375,0.8212890625,0.7962493896484375,0.7634506225585938,0.9837926030158997,0.17404130101203918,0.09541308879852295,0.4174514412879944,0.7887853384017944,0.8450459241867065,1.0437772274017334
1,,31,0.7734923362731934,1.0,1.0,0.9211875200271606,0.8209999799728394,0.791742205619812,0.7625468969345093,1.056438684463501,0.2247995287179947,,0.1743442863225937,,0.4733680188655853,,0.872707188129425,,0.9489835500717163,,1.1081541776657104,,,,,,,,,,,,,,,,
,0.0002997040092642407,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,39,,,,,,,,,,0.13749366998672485,,0.049112726002931595,,0.4547715485095978,,0.6654003262519836,,0.7457797527313232,,1.0042755603790283,0.9300320148468018,,,,,,,,,,,,,,
2,,47,,,,,,,,,,,,,,,,,,,,,,0.7828726172447205,1.0,1.0,0.925537109375,0.8531494140625,0.8203582763671875,0.7658195495605469,0.8261033296585083,0.12454919517040253,0.035156622529029846,0.3964897096157074,0.5054111480712891,0.6365521550178528,0.9040218591690063
2,,47,0.7785385251045227,1.0,1.0,0.9211875200271606,0.8355312347412109,0.8137343525886536,0.7628672122955322,0.9201063513755798,0.15326756238937378,,0.057486265897750854,,0.46125102043151855,,0.644433856010437,,0.7363988161087036,,0.9945507049560547,,,,,,,,,,,,,,,,
,0.000299334294690462,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,49,,,,,,,,,,0.12399454414844513,,0.032052479684352875,,0.4468649625778198,,0.4838419556617737,,0.6229386329650879,,0.8778278827667236,0.8034695982933044,,,,,,,,,,,,,,
3,,59,,,,,,,,,,0.1011921688914299,,0.023998256772756577,,0.42592498660087585,,0.48921534419059753,,0.5903844833374023,,0.7501503825187683,0.7015488743782043,,,,,,,,,,,,,,
3,,63,,,,,,,,,,,,,,,,,,,,,,0.8074175715446472,1.0,1.0,0.925537109375,0.85137939453125,0.8270721435546875,0.7969703674316406,0.6649510860443115,0.06252142041921616,0.01632986217737198,0.35976845026016235,0.48256754875183105,0.580441415309906,0.705367922782898
3,,63,0.7967663407325745,1.0,1.0,0.9211875200271606,0.8574687242507935,0.8278828263282776,0.7822568416595459,0.7485083937644958,0.10660320520401001,,0.026049306616187096,,0.41759568452835083,,0.4917161762714386,,0.6087656021118164,,0.8081129789352417,,,,,,,,,,,,,,,,
,0.0002988172051971717,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,69,,,,,,,,,,0.06615528464317322,,0.019539527595043182,,0.4855085015296936,,0.49649256467819214,,0.6218829154968262,,0.7535153031349182,0.7109814882278442,,,,,,,,,,,,,,
4,,79,,,,,,,,,,0.06623519957065582,,0.020363595336675644,,0.36555737257003784,,0.4299132823944092,,0.5503590703010559,,0.6504327058792114,0.6157114505767822,,,,,,,,,,,,,,
4,,79,,,,,,,,,,,,,,,,,,,,,,0.8133642673492432,1.0,1.0,0.925537109375,0.8626708984375,0.8297119140625,0.8035316467285156,0.6176000237464905,0.04654737934470177,0.01572110876441002,0.33799928426742554,0.4491657018661499,0.5536668300628662,0.6513880491256714
4,,79,0.8101164698600769,1.0,1.0,0.9211875200271606,0.8620468974113464,0.8303632736206055,0.7991464734077454,0.6503382921218872,0.06924381107091904,,0.021133707836270332,,0.3881613612174988,,0.464291512966156,,0.5724263191223145,,0.6885659098625183,,,,,,,,,,,,,,,,
,0.00029815325108927063,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,89,,,,,,,,,,0.05205994099378586,,0.014164087362587452,,0.37667953968048096,,0.4334239363670349,,0.5499581694602966,,0.6419566869735718,0.6095440983772278,,,,,,,,,,,,,,
5,,95,,,,,,,,,,,,,,,,,,,,,,0.8177798986434937,1.0,1.0,0.925537109375,0.86395263671875,0.8307952880859375,0.8090667724609375,0.5917093753814697,0.02996261604130268,0.007899042218923569,0.3157930076122284,0.43691155314445496,0.5332223773002625,0.6231462955474854
5,,95,0.814247727394104,1.0,1.0,0.9210625290870667,0.865234375,0.8329921960830688,0.8037988543510437,0.6094906330108643,0.051221661269664764,,0.014922686852514744,,0.36337995529174805,,0.43945199251174927,,0.5456051826477051,,0.6428025960922241,,,,,,,,,,,,,,,,
,0.00029734308760930326,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,99,,,,,,,,,,0.03490404784679413,,0.008015941828489304,,0.3249327540397644,,0.4289449155330658,,0.5450561046600342,,0.6368902921676636,0.603976845741272,,,,,,,,,,,,,,
6,,109,,,,,,,,,,0.036084700375795364,,0.007436677813529968,,0.3560463786125183,,0.42137855291366577,,0.5241690874099731,,0.6179589629173279,0.5858667492866516,,,,,,,,,,,,,,
6,,111,,,,,,,,,,,,,,,,,,,,,,0.8189932107925415,1.0,1.0,0.925537109375,0.86761474609375,0.831695556640625,0.8102302551269531,0.5738248825073242,0.029537709429860115,0.006400837562978268,0.30214667320251465,0.42479753494262695,0.5236175060272217,0.6026838421821594
6,,111,0.8163655996322632,1.0,1.0,0.9211875200271606,0.865890622138977,0.8348593711853027,0.8061122894287109,0.5889313817024231,0.03760561719536781,,0.008062594570219517,,0.3404701054096222,,0.42491668462753296,,0.5287860035896301,,0.6209083199501038,,,,,,,,,,,,,,,,
,0.00029638751429081204,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,119,,,,,,,,,,0.03350841999053955,,0.006152986548841,,0.35148298740386963,,0.4104596972465515,,0.526152491569519,,0.6028570532798767,0.574338436126709,,,,,,,,,,,,,,
7,,127,,,,,,,,,,,,,,,,,,,,,,0.824613630771637,1.0,1.0,0.925537109375,0.871337890625,0.835723876953125,0.8164825439453125,0.5549997687339783,0.01851022243499756,0.0037502548657357693,0.2926495671272278,0.41814178228378296,0.5087214112281799,0.5818993449211121
