epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_step,val/acc,val/acc_s0_1,val/acc_s1_2,val/acc_s2_4,val/acc_s3_8,val/acc_s4_16,val/loss,val/loss_s0_1,val/loss_s1_2,val/loss_s2_4,val/loss_s3_8,val/loss_s4_16
,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,3,,,,,,,,,,,,,,,,,,,0.7462770342826843,1.0,1.0,0.943115234375,0.8011474609375,0.715301513671875,2.1852378845214844,4.03125,1.291015625,1.1207761764526367,1.8435227870941162,2.34395694732666
0,,3,0.5392258167266846,0.010999999940395355,0.5040000081062317,0.5417500138282776,0.5810937285423279,0.5312148332595825,4.153092384338379,6.073093891143799,,4.549656391143799,,4.333592414855957,,4.1712541580200195,,4.1235737800598145,,,,,,,,,,,,,,
,0.0002999259840548597,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4,,,,,,,,,4.16241455078125,,1.3860702514648438,,1.1472063064575195,,1.8495558500289917,,2.3122849464416504,2.1653330326080322,,,,,,,,,,,,
1,,7,,,,,,,,,,,,,,,,,,,0.7462770342826843,1.0,1.0,0.943115234375,0.8011474609375,0.715301513671875,2.0168838500976562,0.35546875,0.228515625,0.6024799346923828,1.6228184700012207,2.2382335662841797
1,,7,0.7448974251747131,0.9909999966621399,1.0,0.9441875219345093,0.8007344007492065,0.7135351300239563,2.1252388954162598,2.3009355068206787,,0.6592229008674622,,0.7878725528717041,,1.7274560928344727,,2.3304896354675293,,,,,,,,,,,,,,
,0.0002997040092642407,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,9,,,,,,,,,0.351470947265625,,0.2913637161254883,,0.5926609039306641,,1.6073803901672363,,2.207064628601074,1.9908515214920044,,,,,,,,,,,,
2,,11,,,,,,,,,,,,,,,,,,,0.7462770342826843,1.0,1.0,0.943115234375,0.8011474609375,0.715301513671875,1.925957202911377,0.23046875,0.251220703125,0.6041512489318848,1.551613211631775,2.134946823120117
2,,11,0.7449238300323486,1.0,1.0,0.9441875219345093,0.8007344007492065,0.7135351300239563,1.9897164106369019,0.34653809666633606,,0.2888732850551605,,0.626681923866272,,1.6009818315505981,,2.2050840854644775,,,,,,,,,,,,,,
,0.000299334294690462,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,14,,,,,,,,,0.20494461059570312,,0.21263885498046875,,0.5272278785705566,,1.5117313861846924,,2.1108975410461426,1.8962806463241577,,,,,,,,,,,,
3,,15,,,,,,,,,,,,,,,,,,,0.7462770342826843,1.0,1.0,0.943115234375,0.8011474609375,0.715301513671875,1.8613882064819336,0.1865234375,0.198486328125,0.5476503372192383,1.492610216140747,2.0682168006896973
3,,15,0.7449237704277039,1.0,1.0,0.9441875219345093,0.8007344007492065,0.7135351300239563,1.9051190614700317,0.22057031095027924,,0.23054224252700806,,0.5694757699966431,,1.5256317853927612,,2.116213798522949,,,,,,,,,,,,,,
,0.0002988172051971717,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,19,,,,,,,,,0.22823360562324524,,0.24969376623630524,,0.5819502472877502,,1.4801112413406372,,2.0614051818847656,1.856261134147644,,,,,,,,,,,,
4,,19,,,,,,,,,,,,,,,,,,,0.7462770342826843,1.0,1.0,0.943115234375,0.8011474609375,0.715301513671875,1.809208631515503,0.208984375,0.235595703125,0.5556690692901611,1.4470500946044922,2.0089330673217773
4,,19,0.7449237108230591,1.0,1.0,0.9441875219345093,0.8007344007492065,0.7135351300239563,1.8449804782867432,0.21506543457508087,,0.23016357421875,,0.5521267056465149,,1.4725351333618164,,2.0504934787750244,,,,,,,,,,,,,,
,0.00029815325108927063,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,23,,,,,,,,,,,,,,,,,,,0.7462770342826843,1.0,1.0,0.943115234375,0.8011474609375,0.715301513671875,1.7600818872451782,0.140625,0.1533203125,0.4952511787414551,1.410735011100769,1.957902193069458
5,,23,0.7449237704277039,1.0,1.0,0.9441875219345093,0.8007344007492065,0.7135351300239563,1.7975795269012451,0.19835840165615082,,0.21355175971984863,,0.5293630361557007,,1.4309535026550293,,1.9994968175888062,,,,,,,,,,,,,,
,0.00029734308760930326,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,24,,,,,,,,,0.15478134155273438,,0.16161632537841797,,0.49989354610443115,,1.417658805847168,,1.9739923477172852,1.773817539215088,,,,,,,,,,,,
6,,27,,,,,,,,,,,,,,,,,,,0.7462770342826843,1.0,1.0,0.943115234375,0.8011474609375,0.715301513671875,1.6766360998153687,0.109375,0.11279296875,0.4691582918167114,1.3620944023132324,1.8612959384918213
6,,27,0.7449237704277039,1.0,1.0,0.9441875219345093,0.8007344007492065,0.7135351300239563,1.7421680688858032,0.14506933093070984,,0.152236208319664,,0.48244228959083557,,1.3909496068954468,,1.9397869110107422,,,,,,,,,,,,,,
,0.00029638751429081204,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,29,,,,,,,,,0.10105323791503906,,0.10221433639526367,,0.4328988790512085,,1.3381478786468506,,1.8079568147659302,1.6302483081817627,,,,,,,,,,,,
7,,31,,,,,,,,,,,,,,,,,,,0.74849933385849,1.0,1.0,0.943115234375,0.8011474609375,0.71826171875,1.543108344078064,0.061767578125,0.06353759765625,0.46106553077697754,1.2733266353607178,1.707086205482483
7,,31,0.7449530363082886,1.0,1.0,0.9441875219345093,0.8007344007492065,0.713574230670929,1.6376742124557495,0.09682177752256393,,0.09835796803236008,,0.4546869993209839,,1.3379640579223633,,1.816609263420105,,,,,,,,,,,,,,
,0.0002952874741692946,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,34,,,,,,,,,0.060654640197753906,,0.06192374229431152,,0.4404944181442261,,1.2591087818145752,,1.6729445457458496,1.5138211250305176,,,,,,,,,,,,
8,,35,,,,,,,,,,,,,,,,,,,0.7528294324874878,1.0,1.0,0.943115234375,0.8011474609375,0.724029541015625,1.4451701641082764,0.047607421875,0.04901123046875,0.46822893619537354,1.1463658809661865,1.6082043647766113
8,,35,0.7462580800056458,1.0,1.0,0.9441875219345093,0.8019375205039978,0.715011715888977,1.5276726484298706,0.06291894614696503,,0.06285552680492401,,0.4505496323108673,,1.2404900789260864,,1.695397973060608,,,,,,,,,,,,,,
,0.00029404405285154137,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
