index,status,score,reasons,opaque_ratio,edge_density,bbox_w,bbox_h,bbox_area,center_x,center_y,bbox_x0,bbox_y0,largest_component_ratio,component_count,token_entropy,unique_opaque_tokens
1522,keep,7.72280833,,0.29687500,0.22681452,0.46875000,0.81250000,0.38085938,0.48853990,0.60738540,0.25806452,0.19354839,1.00000000,1.00000000,3.18911306,12.00000000
1523,keep,2.11311729,,0.22363281,0.17741935,0.37500000,0.84375000,0.31640625,0.46598112,0.55247218,0.29032258,0.12903226,1.00000000,1.00000000,3.16516629,14.00000000
1524,keep,3.69152426,,0.24414062,0.20060484,0.40625000,0.81250000,0.33007812,0.52077419,0.57767742,0.32258065,0.16129032,0.99600000,2.00000000,2.93744368,12.00000000
1525,keep,9.10376310,,0.30078125,0.23286290,0.53125000,0.81250000,0.43164062,0.48994554,0.60661919,0.22580645,0.19354839,1.00000000,1.00000000,3.28268947,12.00000000
1526,keep,4.82210333,,0.19726562,0.15272177,0.37500000,0.75000000,0.28125000,0.50143724,0.55397637,0.32258065,0.19354839,1.00000000,1.00000000,2.91330192,13.00000000
1527,keep,1.69978886,,0.22656250,0.18548387,0.43750000,0.75000000,0.32812500,0.47747497,0.58634594,0.25806452,0.22580645,1.00000000,1.00000000,2.77393079,12.00000000
1528,keep,3.73197624,,0.20703125,0.15977823,0.34375000,0.78125000,0.26855469,0.48402313,0.56862447,0.32258065,0.19354839,1.00000000,1.00000000,2.83682473,12.00000000
1529,keep,3.76256740,,0.21093750,0.16078629,0.34375000,0.78125000,0.26855469,0.51015532,0.56884707,0.35483871,0.19354839,1.00000000,1.00000000,2.99478835,12.00000000
1530,keep,4.66440819,,0.21191406,0.15524194,0.40625000,0.75000000,0.30468750,0.46989743,0.61572766,0.25806452,0.25806452,1.00000000,1.00000000,2.95345276,11.00000000
1531,keep,6.38141063,,0.18652344,0.16280242,0.40625000,0.78125000,0.31738281,0.48251984,0.56662726,0.32258065,0.19354839,0.98952880,3.00000000,2.73174367,11.00000000
1532,keep,2.45205358,,0.22070312,0.17741935,0.34375000,0.84375000,0.29003906,0.47716243,0.55181273,0.32258065,0.12903226,1.00000000,1.00000000,2.99636446,13.00000000
1533,keep,3.97548782,,0.21191406,0.15221774,0.34375000,0.78125000,0.26855469,0.48208711,0.56726624,0.32258065,0.19354839,1.00000000,1.00000000,2.63681076,12.00000000
1534,keep,5.00110351,,0.27441406,0.18750000,0.46875000,0.84375000,0.39550781,0.48903685,0.61244404,0.25806452,0.16129032,1.00000000,1.00000000,2.82405237,11.00000000
1535,keep,2.99849354,,0.20507812,0.16985887,0.40625000,0.81250000,0.33007812,0.49600614,0.55299539,0.32258065,0.16129032,1.00000000,1.00000000,2.94378036,12.00000000
1536,keep,5.92156333,,0.25195312,0.20362903,0.53125000,0.84375000,0.44824219,0.53838460,0.57964491,0.32258065,0.12903226,1.00000000,1.00000000,3.13120438,12.00000000
1537,keep,2.65756963,,0.22363281,0.18044355,0.43750000,0.78125000,0.34179688,0.51303000,0.60529652,0.32258065,0.22580645,1.00000000,1.00000000,3.05138817,12.00000000
1538,keep,3.26557519,,0.23437500,0.18296371,0.50000000,0.84375000,0.42187500,0.50981183,0.54932796,0.29032258,0.12903226,1.00000000,1.00000000,3.05082399,14.00000000
1539,review,14.52464751,,0.30957031,0.26008065,0.78125000,0.84375000,0.65917969,0.48967131,0.58573318,0.09677419,0.16129032,1.00000000,1.00000000,3.09242790,12.00000000
1540,keep,3.43326749,,0.25878906,0.20010081,0.43750000,0.84375000,0.36914062,0.49178332,0.56092514,0.29032258,0.16129032,1.00000000,1.00000000,2.85401525,11.00000000
1541,keep,4.21228652,,0.19921875,0.16733871,0.34375000,0.78125000,0.26855469,0.47833650,0.55787476,0.32258065,0.19354839,1.00000000,1.00000000,2.97118993,11.00000000
1542,keep,7.14727639,,0.20117188,0.16381048,0.37500000,0.75000000,0.28125000,0.51284059,0.57720013,0.32258065,0.22580645,0.98543689,2.00000000,3.17601070,10.00000000
1543,keep,3.65488587,,0.21582031,0.16733871,0.37500000,0.81250000,0.30468750,0.51773464,0.53816961,0.32258065,0.12903226,1.00000000,1.00000000,3.33479859,14.00000000
1544,keep,3.76833669,,0.26171875,0.21118952,0.46875000,0.75000000,0.35156250,0.49217622,0.58160809,0.25806452,0.22580645,1.00000000,1.00000000,3.17712148,11.00000000
1545,keep,3.82009340,,0.20800781,0.16330645,0.37500000,0.78125000,0.29296875,0.46433439,0.56141148,0.29032258,0.19354839,1.00000000,1.00000000,2.86228628,12.00000000
1546,keep,3.44187224,,0.23925781,0.21471774,0.43750000,0.87500000,0.38281250,0.48742594,0.57814352,0.29032258,0.12903226,1.00000000,1.00000000,3.31909404,13.00000000
1547,keep,2.22644318,,0.20800781,0.17993952,0.37500000,0.78125000,0.29296875,0.50325610,0.57049826,0.32258065,0.19354839,1.00000000,1.00000000,3.15309593,12.00000000
1548,keep,3.23574877,,0.23535156,0.18397177,0.50000000,0.84375000,0.42187500,0.51077500,0.55133182,0.29032258,0.12903226,1.00000000,1.00000000,2.92835234,12.00000000
1549,keep,4.16743810,,0.20410156,0.15927419,0.37500000,0.75000000,0.28125000,0.47214076,0.58110820,0.29032258,0.22580645,1.00000000,1.00000000,3.09851774,14.00000000
1550,keep,3.92583652,,0.24316406,0.22076613,0.43750000,0.84375000,0.36914062,0.47959580,0.56561731,0.29032258,0.16129032,1.00000000,1.00000000,3.21197250,13.00000000
1551,keep,4.30890591,,0.26855469,0.21169355,0.46875000,0.78125000,0.36621094,0.48703812,0.57395894,0.25806452,0.19354839,1.00000000,1.00000000,2.66086091,10.00000000
1552,keep,2.95326329,,0.21875000,0.16431452,0.43750000,0.75000000,0.32812500,0.50993664,0.59086982,0.32258065,0.22580645,1.00000000,1.00000000,2.71976088,9.00000000
1553,keep,5.09334930,,0.22558594,0.17842742,0.46875000,0.78125000,0.36621094,0.47283899,0.60675883,0.25806452,0.22580645,0.99134199,2.00000000,3.05137651,11.00000000
1554,keep,1.46236766,,0.23339844,0.18195565,0.37500000,0.84375000,0.31640625,0.52368741,0.55837495,0.35483871,0.12903226,1.00000000,1.00000000,2.83709462,13.00000000
1555,keep,4.38209988,,0.20312500,0.16834677,0.34375000,0.81250000,0.27929688,0.47921836,0.53675558,0.32258065,0.12903226,1.00000000,1.00000000,3.08125144,13.00000000
1556,keep,3.33986130,,0.19433594,0.17288306,0.40625000,0.75000000,0.30468750,0.50202626,0.58453558,0.29032258,0.22580645,1.00000000,1.00000000,3.11933442,12.00000000
1557,keep,7.85134060,,0.29882812,0.23538306,0.46875000,0.84375000,0.39550781,0.48977440,0.58602151,0.25806452,0.16129032,1.00000000,1.00000000,3.23202392,12.00000000
