generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
2016,982cd2848287659c9a79c4e7cf9bd074e3a08d80,train,9962,1
2020,c4a66bbb7559253851343e28363dd32544723f64,train,39354,1
2063,c9163c05bb029b94932f56b6ae2263e919e463fc,train,35204 35206,2
2064,e711472ed97037b731f0905641fd2f70c6398159,train,81765,1
2088,fc370aa96d2239c60642b92b1daa6e74da4556b8,train,43317,1
2090,2b5f75421b048cbc6dcba4842537786dcb1852c0,train,41392 41399,2
2091,f3e84d2f42087e866de3cdda2dde893c7ab97e4e,train,44189,1
2133,c8501843be5fb202df2be6950ff1a710d26c0811,train,21692 21694,2
2256,53330b542232da956a03b4bd39a81385e8b4191e,train,72223,1
2259,58d321fb13e7a439e057855dda854614f01faa97,train,44978,1
2274,793c0c75c3e8fe3db3cdb1c6f2034291a61e5432,train,34594,1
2283,63e25cc23b5dce36e6ac8e2116788728bce454fb,train,71765,1
2305,eff55ad5e910ae08c844a9535864be1b5e09368e,train,80263,1
2378,aa9f0b8014846ae86f23361aa4a246c48aacae3f,train,68426,1
2391,d110b3e14124b0590af35255fcccc99182af9f68,train,46380 46382,2
2400,7c42341a4320ba9799d5a57589e76d59ef3bb890,train,57403,1
2462,08d397cefb3675a04ea4ae8211a6ba180cc2cd40,train,9068 9070,2
2492,06c70f57fa885900acadc6b7a8ae7640cbf50cc2,train,41547,1
2517,8855bf8bfe1772f6f5dcd6bd4c0c2689a4e5d821,train,72456,1
2562,30db4556c7012993d48c3c11ae1a288b4bf4ff41,train,10751,1
2629,a115b7fd3453645499451242cbbcb731b775ab89,train,1740 1742,2
2654,f3281fe2dd0729d63d6fa32f2b915aff30be8bbe,train,30100,1
2672,c2a59a92bc7c012a0fa4c1a5f71ef9207f19b322,train,59824 59831,2
2710,ef1abda54b541e909d9292020eac53912933bee3,train,29370,1
2770,8364a9219107d450bfecf7a0648e1a87c88c535f,train,19500 19502,2
2785,9205ddd9c20ac9134f21e1905085b5858a2d8336,train,87808,1
2796,a79a2933efac89f90aa5ae542b1dde147146e2bd,train,12140 12142,2
2807,1b47f5ea7e0278c80b622b65c9f77e99b9e8c73e,train,8677,1
