epoch,lr-AdamW,step,train/acc,train/acc_s0_1,train/acc_s1_2,train/acc_s2_4,train/acc_s3_8,train/acc_s4_16,train/acc_s5_32,train/loss_epoch,train/loss_s0_1_epoch,train/loss_s0_1_step,train/loss_s1_2_epoch,train/loss_s1_2_step,train/loss_s2_4_epoch,train/loss_s2_4_step,train/loss_s3_8_epoch,train/loss_s3_8_step,train/loss_s4_16_epoch,train/loss_s4_16_step,train/loss_s5_32_epoch,train/loss_s5_32_step,train/loss_step
,0.0003,0,,,,,,,,,,,,,,,,,,,,,
0,,0,,,,,,,,,,2.582080841064453,,2.428706169128418,,2.8823373317718506,,3.6229543685913086,,3.2237329483032227,,3.2092952728271484,3.224818706512451
0,,1,,,,,,,,,,2.030841588973999,,1.1853241920471191,,1.6604055166244507,,2.0705153942108154,,1.4718406200408936,,1.07957124710083,1.2074166536331177
0,,1,0.41847530007362366,0.375,0.5703125,0.451171875,0.29345703125,0.43310546875,0.42156982421875,2.2161176204681396,2.3064613342285156,,1.8070151805877686,,2.271371364593506,,2.8467350006103516,,2.3477869033813477,,2.1444332599639893,,
,0.0003,2,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,,,,,,1.3377313613891602,,0.46529921889305115,,0.7658034563064575,,0.8963645100593567,,0.7964558601379395,,0.908438503742218,0.8842145800590515
1,,3,,,,,,,,,,0.8235266208648682,,0.22842298448085785,,0.5362921953201294,,0.7500390410423279,,0.8770558834075928,,1.0047687292099,0.9609742760658264
1,,3,0.8411630392074585,1.0,1.0,0.9296875,0.87744140625,0.8587646484375,0.83233642578125,0.922594428062439,1.0806289911270142,,0.3468610942363739,,0.6510478258132935,,0.8232017755508423,,0.8367558717727661,,0.9566036462783813,,
,0.0003,4,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,,,,,,0.730206310749054,,0.21503695845603943,,0.4530644714832306,,0.6709569692611694,,0.7756630182266235,,0.8909468054771423,0.8517801761627197
2,,5,,,,,,,,,,0.7464119791984558,,0.28485408425331116,,0.5130833983421326,,0.7298447489738464,,0.826145350933075,,0.96014404296875,0.9168395400047302
2,,5,0.8411630392074585,1.0,1.0,0.9296875,0.87744140625,0.8587646484375,0.83233642578125,0.8843098878860474,0.7383091449737549,,0.2499455213546753,,0.4830739498138428,,0.7004008293151855,,0.8009041547775269,,0.9255454540252686,,
,0.0003,6,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,,,,,,0.5807268619537354,,0.26554131507873535,,0.46012645959854126,,0.6493975520133972,,0.7311868667602539,,0.8878602385520935,0.8402337431907654
3,,7,,,,,,,,,,0.40388381481170654,,0.1978968232870102,,0.49407076835632324,,0.7403355240821838,,0.8390421867370605,,0.9530054926872253,0.9136663675308228
3,,7,0.8411630392074585,1.0,1.0,0.9296875,0.87744140625,0.8587646484375,0.83233642578125,0.8769500255584717,0.49230533838272095,,0.23171907663345337,,0.47709861397743225,,0.6948665380477905,,0.7851145267486572,,0.9204328656196594,,
,0.0003,8,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,,,,,,0.28098559379577637,,0.15018555521965027,,0.4214516878128052,,0.648936927318573,,0.7554020881652832,,0.8683052659034729,0.829072892665863
4,,9,,,,,,,,,,0.21496310830116272,,0.12800508737564087,,0.46973228454589844,,0.7454898357391357,,0.8197057247161865,,0.9356914758682251,0.8966643214225769
4,,9,0.8411630392074585,1.0,1.0,0.9296875,0.87744140625,0.8587646484375,0.83233642578125,0.86286860704422,0.24797435104846954,,0.13909532129764557,,0.4455919861793518,,0.6972134113311768,,0.7875539064407349,,0.9019984006881714,,
,0.0003,10,,,,,,,,,,,,,,,,,,,,,
